country,year,GDP,life_expectancy,pop,decade,region
Bahrain,1801,1240,30.3,64474,1800,Middle East & North Africa
Bangladesh,1801,876,25.5,19227358,1800,South Asia
Barbados,1801,914,32.124,81729,1800,America
Belarus,1801,608,36.2,2355081,1800,Europe & Central Asia
Belgium,1801,2413,40.0080487804878,3138137,1800,Europe & Central Asia
Belize,1801,579,26.5,25526,1800,America
Benin,1801,597,31,636559,1800,Sub-Saharan Africa
Bermuda,1801,1227,NA,9692,1800,America
Bhutan,1801,629,28.799,89989,1800,South Asia
Bolivia,1801,854,33,1100000,1800,America
Bosnia and Herzegovina,1801,669,35.1,851806,1800,Europe & Central Asia
Botswana,1801,397,33.6,121000,1800,Sub-Saharan Africa
Brazil,1801,1109,31.9998066666667,3639636,1800,America
British Virgin Islands,1801,NA,NA,6700,1800,America
Brunei,1801,1512,29.2,2128,1800,East Asia & Pacific
Bulgaria,1801,1089,35.844,1992320,1800,Europe & Central Asia
Burkina Faso,1801,480,29.2,1665421,1800,Sub-Saharan Africa
Burundi,1801,418,31.5,899097,1800,Sub-Saharan Africa
Cambodia,1801,904,35,2090000,1800,East Asia & Pacific
Cameroon,1801,626,28.75,1860054,1800,Sub-Saharan Africa
Canada,1801,1322,39.0014967741936,645526,1800,America
Cape Verde,1801,529,33.8,55716,1800,Sub-Saharan Africa
Cayman Islands,1801,1039,NA,2439,1800,America
Central African Republic,1801,424,30,479444,1800,NA
Chad,1801,418,30.9,1432000,1800,Sub-Saharan Africa
Channel Islands,1801,NA,NA,43908,1800,Europe & Central Asia
Chile,1801,1026,32,771447,1800,America
China,1801,985,32,321675013,1800,East Asia & Pacific
Christmas Island,1801,NA,NA,NA,1800,East Asia & Pacific
Cocos Island,1801,NA,NA,NA,1800,East Asia & Pacific
Colombia,1801,963,32,1206000,1800,America
Comoros,1801,697,32.1,56346,1800,Sub-Saharan Africa
"Congo, Dem. Rep.",1801,487,31.6,5163819,1800,Sub-Saharan Africa
"Congo, Rep.",1801,576,32.7,314465,1800,Sub-Saharan Africa
Cook Is,1801,NA,NA,16136,1800,NA
Costa Rica,1801,775,30.2147,51987,1800,America
Cote d'Ivoire,1801,816,31.156,1088530,1800,Sub-Saharan Africa
Croatia,1801,NA,36.1,1227886,1800,Europe & Central Asia
Cuba,1801,874,32.325,345043,1800,America
Cyprus,1801,854,38.5001263157895,184392,1800,Europe & Central Asia
Czech Republic,1801,1916,34.9544,5516349,1800,NA
Czechoslovakia,1801,NA,NA,NA,1800,Europe & Central Asia
Denmark,1801,2017,38.5132847405481,1062514,1800,Europe & Central Asia
Djibouti,1801,754,29.9,22848,1800,Middle East & North Africa
Dominica,1801,663,NA,19950,1800,America
Dominican Republic,1801,667,29.9,89000,1800,NA
East Germany,1801,NA,NA,NA,1800,Europe & Central Asia
Ecuador,1801,529,32.9,5e+05,1800,America
Egypt,1801,791,33,4243515,1800,Middle East & North Africa
El Salvador,1801,975,28.7,248000,1800,America
Equatorial Guinea,1801,356,29.8,80377,1800,Sub-Saharan Africa
Eritrea,1801,532,30.2,205010,1800,Sub-Saharan Africa
Eritrea and Ethiopia,1801,NA,NA,NA,1800,Sub-Saharan Africa
Estonia,1801,939,35.7000725782256,334136,1800,Europe & Central Asia
Ethiopia,1801,523,29.7,2948990,1800,Sub-Saharan Africa
Faeroe Islands,1801,NA,NA,13537,1800,Europe & Central Asia
Falkland Is (Malvinas),1801,NA,NA,100,1800,NA
Fiji,1801,785,26.1,130533,1800,East Asia & Pacific
Finland,1801,1246,40.2999893681334,977662,1800,Europe & Central Asia
France,1801,1806,36.3746487788874,29355111,1800,Europe & Central Asia
French Guiana,1801,NA,30.5,9899,1800,America
French Polynesia,1801,NA,25.6,62530,1800,East Asia & Pacific
Gabon,1801,390,30.6,158227,1800,Sub-Saharan Africa
Gambia,1801,813,28.8,103274,1800,Sub-Saharan Africa
Georgia,1801,543,31.871,1072178,1800,Europe & Central Asia
Germany,1801,1651,38.37,22886919,1800,Europe & Central Asia
Ghana,1801,696,28,2016034,1800,Sub-Saharan Africa
Gibraltar,1801,NA,NA,9873,1800,Europe & Central Asia
Greece,1801,1374,36.6,2151155,1800,Europe & Central Asia
Greenland,1801,393,33.8670031192147,9584,1800,Europe & Central Asia
Grenada,1801,959,31.4,29409,1800,America
Guadeloupe,1801,NA,27.655,80726,1800,America
Guam,1801,NA,27.5,6053,1800,East Asia & Pacific
Guatemala,1801,857,25.80016,458965,1800,America
Guernsey,1801,NA,NA,NA,1800,Europe & Central Asia
Guinea,1801,450,29.5103448275862,983959,1800,Sub-Saharan Africa
Guinea-Bissau,1801,777,32,218167,1800,Sub-Saharan Africa
Guyana,1801,1214,31.12,166034,1800,America
Haiti,1801,633,29,723000,1800,America
Holy See,1801,NA,NA,905,1800,Europe & Central Asia
Honduras,1801,675,33.9,126118,1800,America
"Hong Kong, China",1801,1007,34.9,20000,1800,East Asia & Pacific
Hungary,1801,1249,36,3499771,1800,Europe & Central Asia
Iceland,1801,926,33.8797927326943,61428,1800,Europe & Central Asia
India,1801,1052,25.4424,168574895,1800,South Asia
Indonesia,1801,994,30,16108545,1800,East Asia & Pacific
Iran,1801,977,25.6,6269721,1800,Middle East & North Africa
Iraq,1801,970,31.2,1076920,1800,Middle East & North Africa
Ireland,1801,1447,38.3,4064749,1800,Europe & Central Asia
Isle of Man,1801,NA,NA,23533,1800,Europe & Central Asia
Israel,1801,880,32,209954,1800,Middle East & North Africa
Italy,1801,2197,29.69,18822234,1800,Europe & Central Asia
Jamaica,1801,1171,34.2,401000,1800,America
Japan,1801,1051,36.4003975384615,30294378,1800,East Asia & Pacific
Jersey,1801,NA,NA,NA,1800,Europe & Central Asia
Jordan,1801,976,31.7,217000,1800,Middle East & North Africa
Kazakhstan,1801,1141,26.2,2041282,1800,Europe & Central Asia
Kenya,1801,856,25.5,2574000,1800,Sub-Saharan Africa
